"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2016","270","272","278","270","12.82M","-0.74%"
"09/05/2016","272","275","280","270","7.93M","-1.09%"
"09/02/2016","275","278","278","270","3.59M","1.10%"
"09/01/2016","272","282","282","272","2.72M","-3.55%"
"08/31/2016","282","272","282","272","4.61M","3.68%"
"08/30/2016","272","282","282","270","24.09M","-3.55%"
"08/29/2016","282","288","288","280","2.96M","-2.08%"
"08/26/2016","288","295","295","285","4.38M","-2.37%"
"08/25/2016","295","285","295","282","11.58M","3.51%"
"08/24/2016","285","295","295","282","7.57M","-3.39%"
"08/23/2016","295","280","295","278","15.41M","4.61%"
"08/22/2016","282","285","285","278","3.47M","-1.05%"
"08/19/2016","285","290","295","280","6.51M","-1.72%"
"08/18/2016","290","280","290","280","7.55M","3.57%"
"08/16/2016","280","280","285","280","4.00M","0.00%"
"08/15/2016","280","288","290","278","8.80M","-2.78%"
"08/12/2016","288","290","295","288","4.10M","-0.69%"
"08/11/2016","290","292","295","290","9.21M","-1.69%"
"08/10/2016","295","298","298","295","3.58M","-1.01%"
"08/09/2016","298","295","298","292","9.60M","0.00%"
"08/08/2016","298","298","300","292","5.87M","1.02%"
"08/05/2016","295","300","302","295","9.71M","-1.01%"
"08/04/2016","298","300","305","295","26.61M","-0.67%"
"08/03/2016","300","295","305","295","55.08M","3.45%"
"08/02/2016","290","295","298","290","7.67M","-2.68%"
"08/01/2016","298","288","300","285","10.86M","3.47%"
"07/29/2016","288","290","298","275","23.94M","-0.69%"
"07/28/2016","290","305","305","290","22.55M","-3.97%"
"07/27/2016","302","308","310","300","22.70M","-1.95%"
"07/26/2016","308","302","310","290","84.99M","1.99%"
"07/25/2016","302","285","305","280","126.07M","5.96%"
"07/22/2016","285","262","285","258","93.93M","8.78%"
"07/21/2016","262","249","272","249","80.51M","5.22%"
"07/20/2016","249","250","250","248","4.53M","-0.40%"
"07/19/2016","250","249","250","249","3.09M","0.40%"
"07/18/2016","249","250","250","247","6.32M","0.00%"
"07/15/2016","249","250","252","248","7.65M","-0.40%"
"07/14/2016","250","250","250","248","5.27M","0.81%"
"07/13/2016","248","250","250","247","14.03M","0.00%"
"07/12/2016","248","250","252","248","16.30M","-0.80%"
"07/11/2016","250","250","252","249","21.47M","0.00%"
"07/01/2016","250","252","255","250","17.44M","-0.79%"
"06/30/2016","252","255","258","250","9.11M","-1.18%"
"06/29/2016","255","255","258","255","13.55M","0.00%"
"06/28/2016","255","250","258","250","7.47M","1.19%"
"06/27/2016","252","252","255","250","8.03M","0.00%"
"06/24/2016","252","255","258","250","9.51M","-1.18%"
"06/23/2016","255","255","258","252","8.88M","1.19%"
"06/22/2016","252","252","258","252","12.48M","0.00%"
"06/21/2016","252","255","255","252","1.34M","-2.33%"
"06/20/2016","258","252","258","250","7.55M","2.38%"
"06/17/2016","252","250","255","250","12.39M","0.80%"
"06/16/2016","250","250","252","250","1.11M","0.00%"
"06/15/2016","250","252","252","249","3.09M","-0.79%"
"06/14/2016","252","252","252","250","3.13M","0.00%"
"06/13/2016","252","252","252","250","6.62M","0.00%"
"06/10/2016","252","252","255","250","19.19M","0.00%"
"06/09/2016","252","252","255","252","1.14M","-1.18%"
